"annotation_id","annotator","created_at","id","image","label","lead_time","updated_at"
1177,"1","2023-06-26T14:07:54.945768Z",1817,"/data/upload/29/e5868e39-657.jpg","[{""x"":62.537425149700596,""y"":27.944111776447105,""width"":4.60329341317366,""height"":6.786427145708583,""rotation"":0,""rectanglelabels"":[""Right""],""original_width"":1280,""original_height"":720}]",7.394,"2023-06-26T14:07:54.945796Z"
1178,"1","2023-06-26T14:08:42.742313Z",1818,"/data/upload/29/35f5b346-658.jpg","[{""x"":4.603378108481953,""y"":15.968063872255486,""width"":8.53284943642823,""height"":12.375249500998004,""rotation"":0,""rectanglelabels"":[""Right""],""original_width"":1280,""original_height"":720},{""x"":72.19311377245496,""y"":27.345309381237527,""width"":4.266467065868268,""height"":7.18562874251495,""rotation"":0,""rectanglelabels"":[""Right""],""original_width"":1280,""original_height"":720},{""x"":43.787425149700574,""y"":23.15369261477046,""width"":3.705216863321749,""height"":9.38123752495008,""rotation"":0,""rectanglelabels"":[""Stop""],""original_width"":1280,""original_height"":720}]",43.808,"2023-06-26T14:08:42.742343Z"
1179,"1","2023-06-26T14:09:32.175074Z",1820,"/data/upload/29/ad13c159-660.jpg","[{""x"":26.833959378291784,""y"":17.165668662674648,""width"":8.86963343607947,""height"":12.375249500998,""rotation"":0,""rectanglelabels"":[""Right""],""original_width"":1280,""original_height"":720},{""x"":67.81437125748502,""y"":22.754491017964074,""width"":3.705089820359274,""height"":9.9800399201597,""rotation"":0,""rectanglelabels"":[""Stop""],""original_width"":1280,""original_height"":720},{""x"":95.20958083832336,""y"":27.744510978043913,""width"":4.154191616766468,""height"":7.185628742514972,""rotation"":0,""rectanglelabels"":[""Right""],""original_width"":1280,""original_height"":720}]",45.234,"2023-06-26T14:09:32.175103Z"
1180,"1","2023-06-26T14:09:59.397561Z",1821,"/data/upload/29/1fea34ad-661.jpg","[{""x"":33.345935426195986,""y"":17.964071856287422,""width"":9.206459783384851,""height"":12.375249500998004,""rotation"":0,""rectanglelabels"":[""Right""],""original_width"":1280,""original_height"":720},{""x"":74.32638965304331,""y"":23.552894211576856,""width"":3.8173229218069116,""height"":10.379241516966056,""rotation"":0,""rectanglelabels"":[""Stop""],""original_width"":1280,""original_height"":720}]",25.053,"2023-06-26T14:09:59.397592Z"
1181,"1","2023-06-26T14:10:23.042360Z",1822,"/data/upload/29/cdbf8af4-662.jpg","[{""x"":32.78455818068701,""y"":17.165668662674648,""width"":9.206459783384844,""height"":12.574850299401188,""rotation"":0,""rectanglelabels"":[""Right""],""original_width"":1280,""original_height"":720},{""x"":73.98964800104625,""y"":22.954091816367256,""width"":3.8172382264986315,""height"":9.980039920159669,""rotation"":0,""rectanglelabels"":[""Stop""],""original_width"":1280,""original_height"":720}]",21.256,"2023-06-26T14:10:23.042394Z"
1182,"1","2023-06-26T14:10:43.714319Z",1823,"/data/upload/29/1942917f-667.jpg","[{""x"":32.6721980362769,""y"":16.966067864271462,""width"":9.206544478693152,""height"":12.77445109780439,""rotation"":0,""rectanglelabels"":[""Right""],""original_width"":1280,""original_height"":720},{""x"":73.87724550898204,""y"":22.355289421157686,""width"":3.7050898203592766,""height"":10.578842315369258,""rotation"":0,""rectanglelabels"":[""Stop""],""original_width"":1280,""original_height"":720}]",18.832,"2023-06-26T14:10:43.714348Z"
1183,"1","2023-06-26T14:11:12.397620Z",1824,"/data/upload/29/b8bfff37-668.jpg","[{""x"":32.78451583303285,""y"":16.766467065868245,""width"":9.318777580140814,""height"":12.175648702594806,""rotation"":0,""rectanglelabels"":[""Right""],""original_width"":1280,""original_height"":720},{""x"":73.989563305738,""y"":22.355289421157686,""width"":3.8173229218069156,""height"":10.778443113772454,""rotation"":0,""rectanglelabels"":[""Stop""],""original_width"":1280,""original_height"":720}]",26.528,"2023-06-26T14:11:12.397653Z"
1184,"1","2023-06-26T14:11:38.167083Z",1825,"/data/upload/29/3f56e347-669.jpg","[{""x"":34.805431569211045,""y"":13.572854291417165,""width"":9.318819927794966,""height"":12.574850299401206,""rotation"":0,""rectanglelabels"":[""Right""],""original_width"":1280,""original_height"":720},{""x"":76.23511463542806,""y"":18.962075848303392,""width"":3.8172805741527793,""height"":10.978043912175645,""rotation"":0,""rectanglelabels"":[""Stop""],""original_width"":1280,""original_height"":720}]",23.401,"2023-06-26T14:11:38.167113Z"
1185,"1","2023-06-26T14:12:04.983797Z",1826,"/data/upload/29/97d11872-670.jpg","[{""x"":45.13473053892215,""y"":15.568862275449103,""width"":9.5434131736527,""height"":12.774451097804377,""rotation"":0,""rectanglelabels"":[""Right""],""original_width"":1280,""original_height"":720},{""x"":86.45209580838323,""y"":21.756487025948104,""width"":3.705089820359291,""height"":10.578842315369258,""rotation"":0,""rectanglelabels"":[""Stop""],""original_width"":1280,""original_height"":720}]",26.871000000000002,"2023-06-26T14:12:10.806161Z"
1186,"1","2023-06-26T14:12:41.006922Z",1827,"/data/upload/29/71d35170-673.jpg","[{""x"":48.05406160618545,""y"":15.768463073852296,""width"":9.3186928848325,""height"":12.574850299401172,""rotation"":0,""rectanglelabels"":[""Right""],""original_width"":1280,""original_height"":720},{""x"":89.1467489344805,""y"":20.758483033932134,""width"":3.8173229218069293,""height"":11.576846307385228,""rotation"":0,""rectanglelabels"":[""Stop""],""original_width"":1280,""original_height"":720}]",27.607,"2023-06-26T14:12:41.006949Z"
